idx,audio_path,emotion,full_transcription,text_segments,audio_duration,audio_sequence_length,frames_per_text_segment,num_text_segments
13,hidden_state_13.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
14,hidden_state_14.pt,surprise,This is a surprise emotion sample,"[""surprise segment 1"", ""surprise segment 2"", ""surprise segment 3"", ""surprise segment 4"", ""surprise segment 5"", ""surprise segment 6"", ""surprise segment 7""]",3.0,399,57,7
15,hidden_state_15.pt,sadness,This is a sadness emotion sample,"[""sadness segment 1"", ""sadness segment 2"", ""sadness segment 3"", ""sadness segment 4"", ""sadness segment 5"", ""sadness segment 6"", ""sadness segment 7""]",3.0,399,57,7
16,hidden_state_16.pt,surprise,This is a surprise emotion sample,"[""surprise segment 1"", ""surprise segment 2"", ""surprise segment 3"", ""surprise segment 4"", ""surprise segment 5"", ""surprise segment 6"", ""surprise segment 7""]",3.0,399,57,7
17,hidden_state_17.pt,fear,This is a fear emotion sample,"[""fear segment 1"", ""fear segment 2"", ""fear segment 3"", ""fear segment 4"", ""fear segment 5"", ""fear segment 6"", ""fear segment 7""]",3.0,399,57,7
18,hidden_state_18.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
19,hidden_state_19.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
20,hidden_state_20.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
21,hidden_state_21.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
22,hidden_state_22.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
23,hidden_state_23.pt,joy,This is a joy emotion sample,"[""joy segment 1"", ""joy segment 2"", ""joy segment 3"", ""joy segment 4"", ""joy segment 5"", ""joy segment 6"", ""joy segment 7""]",3.0,399,57,7
24,hidden_state_24.pt,sadness,This is a sadness emotion sample,"[""sadness segment 1"", ""sadness segment 2"", ""sadness segment 3"", ""sadness segment 4"", ""sadness segment 5"", ""sadness segment 6"", ""sadness segment 7""]",3.0,399,57,7
25,hidden_state_25.pt,surprise,This is a surprise emotion sample,"[""surprise segment 1"", ""surprise segment 2"", ""surprise segment 3"", ""surprise segment 4"", ""surprise segment 5"", ""surprise segment 6"", ""surprise segment 7""]",3.0,399,57,7
26,hidden_state_26.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
27,hidden_state_27.pt,disgust,This is a disgust emotion sample,"[""disgust segment 1"", ""disgust segment 2"", ""disgust segment 3"", ""disgust segment 4"", ""disgust segment 5"", ""disgust segment 6"", ""disgust segment 7""]",3.0,399,57,7
28,hidden_state_28.pt,sadness,This is a sadness emotion sample,"[""sadness segment 1"", ""sadness segment 2"", ""sadness segment 3"", ""sadness segment 4"", ""sadness segment 5"", ""sadness segment 6"", ""sadness segment 7""]",3.0,399,57,7
29,hidden_state_29.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
30,hidden_state_30.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
31,hidden_state_31.pt,joy,This is a joy emotion sample,"[""joy segment 1"", ""joy segment 2"", ""joy segment 3"", ""joy segment 4"", ""joy segment 5"", ""joy segment 6"", ""joy segment 7""]",3.0,399,57,7
32,hidden_state_32.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
33,hidden_state_33.pt,joy,This is a joy emotion sample,"[""joy segment 1"", ""joy segment 2"", ""joy segment 3"", ""joy segment 4"", ""joy segment 5"", ""joy segment 6"", ""joy segment 7""]",3.0,399,57,7
34,hidden_state_34.pt,surprise,This is a surprise emotion sample,"[""surprise segment 1"", ""surprise segment 2"", ""surprise segment 3"", ""surprise segment 4"", ""surprise segment 5"", ""surprise segment 6"", ""surprise segment 7""]",3.0,399,57,7
35,hidden_state_35.pt,surprise,This is a surprise emotion sample,"[""surprise segment 1"", ""surprise segment 2"", ""surprise segment 3"", ""surprise segment 4"", ""surprise segment 5"", ""surprise segment 6"", ""surprise segment 7""]",3.0,399,57,7
36,hidden_state_36.pt,surprise,This is a surprise emotion sample,"[""surprise segment 1"", ""surprise segment 2"", ""surprise segment 3"", ""surprise segment 4"", ""surprise segment 5"", ""surprise segment 6"", ""surprise segment 7""]",3.0,399,57,7
37,hidden_state_37.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
38,hidden_state_38.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
39,hidden_state_39.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
40,hidden_state_40.pt,surprise,This is a surprise emotion sample,"[""surprise segment 1"", ""surprise segment 2"", ""surprise segment 3"", ""surprise segment 4"", ""surprise segment 5"", ""surprise segment 6"", ""surprise segment 7""]",3.0,399,57,7
41,hidden_state_41.pt,sadness,This is a sadness emotion sample,"[""sadness segment 1"", ""sadness segment 2"", ""sadness segment 3"", ""sadness segment 4"", ""sadness segment 5"", ""sadness segment 6"", ""sadness segment 7""]",3.0,399,57,7
42,hidden_state_42.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
43,hidden_state_43.pt,surprise,This is a surprise emotion sample,"[""surprise segment 1"", ""surprise segment 2"", ""surprise segment 3"", ""surprise segment 4"", ""surprise segment 5"", ""surprise segment 6"", ""surprise segment 7""]",3.0,399,57,7
44,hidden_state_44.pt,joy,This is a joy emotion sample,"[""joy segment 1"", ""joy segment 2"", ""joy segment 3"", ""joy segment 4"", ""joy segment 5"", ""joy segment 6"", ""joy segment 7""]",3.0,399,57,7
45,hidden_state_45.pt,surprise,This is a surprise emotion sample,"[""surprise segment 1"", ""surprise segment 2"", ""surprise segment 3"", ""surprise segment 4"", ""surprise segment 5"", ""surprise segment 6"", ""surprise segment 7""]",3.0,399,57,7
46,hidden_state_46.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
47,hidden_state_47.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
48,hidden_state_48.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
49,hidden_state_49.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
50,hidden_state_50.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
51,hidden_state_51.pt,joy,This is a joy emotion sample,"[""joy segment 1"", ""joy segment 2"", ""joy segment 3"", ""joy segment 4"", ""joy segment 5"", ""joy segment 6"", ""joy segment 7""]",3.0,399,57,7
52,hidden_state_52.pt,joy,This is a joy emotion sample,"[""joy segment 1"", ""joy segment 2"", ""joy segment 3"", ""joy segment 4"", ""joy segment 5"", ""joy segment 6"", ""joy segment 7""]",3.0,399,57,7
53,hidden_state_53.pt,joy,This is a joy emotion sample,"[""joy segment 1"", ""joy segment 2"", ""joy segment 3"", ""joy segment 4"", ""joy segment 5"", ""joy segment 6"", ""joy segment 7""]",3.0,399,57,7
54,hidden_state_54.pt,sadness,This is a sadness emotion sample,"[""sadness segment 1"", ""sadness segment 2"", ""sadness segment 3"", ""sadness segment 4"", ""sadness segment 5"", ""sadness segment 6"", ""sadness segment 7""]",3.0,399,57,7
55,hidden_state_55.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
56,hidden_state_56.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
57,hidden_state_57.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
58,hidden_state_58.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
59,hidden_state_59.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
60,hidden_state_60.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
61,hidden_state_61.pt,surprise,This is a surprise emotion sample,"[""surprise segment 1"", ""surprise segment 2"", ""surprise segment 3"", ""surprise segment 4"", ""surprise segment 5"", ""surprise segment 6"", ""surprise segment 7""]",3.0,399,57,7
62,hidden_state_62.pt,joy,This is a joy emotion sample,"[""joy segment 1"", ""joy segment 2"", ""joy segment 3"", ""joy segment 4"", ""joy segment 5"", ""joy segment 6"", ""joy segment 7""]",3.0,399,57,7
63,hidden_state_63.pt,surprise,This is a surprise emotion sample,"[""surprise segment 1"", ""surprise segment 2"", ""surprise segment 3"", ""surprise segment 4"", ""surprise segment 5"", ""surprise segment 6"", ""surprise segment 7""]",3.0,399,57,7
64,hidden_state_64.pt,joy,This is a joy emotion sample,"[""joy segment 1"", ""joy segment 2"", ""joy segment 3"", ""joy segment 4"", ""joy segment 5"", ""joy segment 6"", ""joy segment 7""]",3.0,399,57,7
65,hidden_state_65.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
66,hidden_state_66.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
67,hidden_state_67.pt,anger,This is a anger emotion sample,"[""anger segment 1"", ""anger segment 2"", ""anger segment 3"", ""anger segment 4"", ""anger segment 5"", ""anger segment 6"", ""anger segment 7""]",3.0,399,57,7
68,hidden_state_68.pt,joy,This is a joy emotion sample,"[""joy segment 1"", ""joy segment 2"", ""joy segment 3"", ""joy segment 4"", ""joy segment 5"", ""joy segment 6"", ""joy segment 7""]",3.0,399,57,7
69,hidden_state_69.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
70,hidden_state_70.pt,surprise,This is a surprise emotion sample,"[""surprise segment 1"", ""surprise segment 2"", ""surprise segment 3"", ""surprise segment 4"", ""surprise segment 5"", ""surprise segment 6"", ""surprise segment 7""]",3.0,399,57,7
71,hidden_state_71.pt,anger,This is a anger emotion sample,"[""anger segment 1"", ""anger segment 2"", ""anger segment 3"", ""anger segment 4"", ""anger segment 5"", ""anger segment 6"", ""anger segment 7""]",3.0,399,57,7
72,hidden_state_72.pt,anger,This is a anger emotion sample,"[""anger segment 1"", ""anger segment 2"", ""anger segment 3"", ""anger segment 4"", ""anger segment 5"", ""anger segment 6"", ""anger segment 7""]",3.0,399,57,7
73,hidden_state_73.pt,anger,This is a anger emotion sample,"[""anger segment 1"", ""anger segment 2"", ""anger segment 3"", ""anger segment 4"", ""anger segment 5"", ""anger segment 6"", ""anger segment 7""]",3.0,399,57,7
74,hidden_state_74.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
75,hidden_state_75.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
76,hidden_state_76.pt,sadness,This is a sadness emotion sample,"[""sadness segment 1"", ""sadness segment 2"", ""sadness segment 3"", ""sadness segment 4"", ""sadness segment 5"", ""sadness segment 6"", ""sadness segment 7""]",3.0,399,57,7
77,hidden_state_77.pt,sadness,This is a sadness emotion sample,"[""sadness segment 1"", ""sadness segment 2"", ""sadness segment 3"", ""sadness segment 4"", ""sadness segment 5"", ""sadness segment 6"", ""sadness segment 7""]",3.0,399,57,7
78,hidden_state_78.pt,sadness,This is a sadness emotion sample,"[""sadness segment 1"", ""sadness segment 2"", ""sadness segment 3"", ""sadness segment 4"", ""sadness segment 5"", ""sadness segment 6"", ""sadness segment 7""]",3.0,399,57,7
79,hidden_state_79.pt,surprise,This is a surprise emotion sample,"[""surprise segment 1"", ""surprise segment 2"", ""surprise segment 3"", ""surprise segment 4"", ""surprise segment 5"", ""surprise segment 6"", ""surprise segment 7""]",3.0,399,57,7
80,hidden_state_80.pt,anger,This is a anger emotion sample,"[""anger segment 1"", ""anger segment 2"", ""anger segment 3"", ""anger segment 4"", ""anger segment 5"", ""anger segment 6"", ""anger segment 7""]",3.0,399,57,7
81,hidden_state_81.pt,anger,This is a anger emotion sample,"[""anger segment 1"", ""anger segment 2"", ""anger segment 3"", ""anger segment 4"", ""anger segment 5"", ""anger segment 6"", ""anger segment 7""]",3.0,399,57,7
82,hidden_state_82.pt,anger,This is a anger emotion sample,"[""anger segment 1"", ""anger segment 2"", ""anger segment 3"", ""anger segment 4"", ""anger segment 5"", ""anger segment 6"", ""anger segment 7""]",3.0,399,57,7
83,hidden_state_83.pt,anger,This is a anger emotion sample,"[""anger segment 1"", ""anger segment 2"", ""anger segment 3"", ""anger segment 4"", ""anger segment 5"", ""anger segment 6"", ""anger segment 7""]",3.0,399,57,7
84,hidden_state_84.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
85,hidden_state_85.pt,anger,This is a anger emotion sample,"[""anger segment 1"", ""anger segment 2"", ""anger segment 3"", ""anger segment 4"", ""anger segment 5"", ""anger segment 6"", ""anger segment 7""]",3.0,399,57,7
86,hidden_state_86.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
87,hidden_state_87.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
88,hidden_state_88.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
89,hidden_state_89.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
90,hidden_state_90.pt,joy,This is a joy emotion sample,"[""joy segment 1"", ""joy segment 2"", ""joy segment 3"", ""joy segment 4"", ""joy segment 5"", ""joy segment 6"", ""joy segment 7""]",3.0,399,57,7
91,hidden_state_91.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
92,hidden_state_92.pt,joy,This is a joy emotion sample,"[""joy segment 1"", ""joy segment 2"", ""joy segment 3"", ""joy segment 4"", ""joy segment 5"", ""joy segment 6"", ""joy segment 7""]",3.0,399,57,7
93,hidden_state_93.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
94,hidden_state_94.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
95,hidden_state_95.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
96,hidden_state_96.pt,joy,This is a joy emotion sample,"[""joy segment 1"", ""joy segment 2"", ""joy segment 3"", ""joy segment 4"", ""joy segment 5"", ""joy segment 6"", ""joy segment 7""]",3.0,399,57,7
97,hidden_state_97.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
98,hidden_state_98.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
99,hidden_state_99.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
100,hidden_state_100.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
101,hidden_state_101.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
102,hidden_state_102.pt,joy,This is a joy emotion sample,"[""joy segment 1"", ""joy segment 2"", ""joy segment 3"", ""joy segment 4"", ""joy segment 5"", ""joy segment 6"", ""joy segment 7""]",3.0,399,57,7
103,hidden_state_103.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
104,hidden_state_104.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
105,hidden_state_105.pt,disgust,This is a disgust emotion sample,"[""disgust segment 1"", ""disgust segment 2"", ""disgust segment 3"", ""disgust segment 4"", ""disgust segment 5"", ""disgust segment 6"", ""disgust segment 7""]",3.0,399,57,7
106,hidden_state_106.pt,anger,This is a anger emotion sample,"[""anger segment 1"", ""anger segment 2"", ""anger segment 3"", ""anger segment 4"", ""anger segment 5"", ""anger segment 6"", ""anger segment 7""]",3.0,399,57,7
107,hidden_state_107.pt,anger,This is a anger emotion sample,"[""anger segment 1"", ""anger segment 2"", ""anger segment 3"", ""anger segment 4"", ""anger segment 5"", ""anger segment 6"", ""anger segment 7""]",3.0,399,57,7
108,hidden_state_108.pt,anger,This is a anger emotion sample,"[""anger segment 1"", ""anger segment 2"", ""anger segment 3"", ""anger segment 4"", ""anger segment 5"", ""anger segment 6"", ""anger segment 7""]",3.0,399,57,7
109,hidden_state_109.pt,anger,This is a anger emotion sample,"[""anger segment 1"", ""anger segment 2"", ""anger segment 3"", ""anger segment 4"", ""anger segment 5"", ""anger segment 6"", ""anger segment 7""]",3.0,399,57,7
110,hidden_state_110.pt,anger,This is a anger emotion sample,"[""anger segment 1"", ""anger segment 2"", ""anger segment 3"", ""anger segment 4"", ""anger segment 5"", ""anger segment 6"", ""anger segment 7""]",3.0,399,57,7
111,hidden_state_111.pt,anger,This is a anger emotion sample,"[""anger segment 1"", ""anger segment 2"", ""anger segment 3"", ""anger segment 4"", ""anger segment 5"", ""anger segment 6"", ""anger segment 7""]",3.0,399,57,7
112,hidden_state_112.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
113,hidden_state_113.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
114,hidden_state_114.pt,anger,This is a anger emotion sample,"[""anger segment 1"", ""anger segment 2"", ""anger segment 3"", ""anger segment 4"", ""anger segment 5"", ""anger segment 6"", ""anger segment 7""]",3.0,399,57,7
115,hidden_state_115.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
116,hidden_state_116.pt,joy,This is a joy emotion sample,"[""joy segment 1"", ""joy segment 2"", ""joy segment 3"", ""joy segment 4"", ""joy segment 5"", ""joy segment 6"", ""joy segment 7""]",3.0,399,57,7
117,hidden_state_117.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
118,hidden_state_118.pt,neutral,This is a neutral emotion sample,"[""neutral segment 1"", ""neutral segment 2"", ""neutral segment 3"", ""neutral segment 4"", ""neutral segment 5"", ""neutral segment 6"", ""neutral segment 7""]",3.0,399,57,7
119,hidden_state_119.pt,joy,This is a joy emotion sample,"[""joy segment 1"", ""joy segment 2"", ""joy segment 3"", ""joy segment 4"", ""joy segment 5"", ""joy segment 6"", ""joy segment 7""]",3.0,399,57,7
